Project,Subproject of Deployments_annotated.jmp,Deployment,Deployme_1,Date_Out,Date_Retri,First_Dete,Survey_Day,Latitude,Longitude,Time_Zone,Habitat,Feature_Wa,Feature_Ro,Feature_Hu,Feature__1,Feature_Lo,Vegetation,Vegetati_1,Vegetati_2,Camera_Hei,Resticted_,Obstructed,Wide,gppcum_0.5deg,gppmin_0.5deg,gppvar_0.5deg,GPP_VAR1km,GPP_min1km,CUM_GPP1km,cultiv1km,gpw_v4_pop,GPP_Cum_combo,GPP_Min_combo,GPP_Var_combo,pop_log1p,GPP_min_combo_log1p,Subproject of untitled 3,Deployment_Name,N(Abert's Squirrel),N(Allen's Chipmunk),N(American Badger),N(American Beaver),N(American Bison),N(American Black Bear),N(American Marten),N(American Mink),N(American Red Squirrel),N(American Robin),N(Arizona Gray Squirrel),N(Bald Eagle),N(Bicycle),N(Black Vulture),N(Black-tailed Jackrabbit),N(Black-tailed Prairie Dog),N(Bobcat),N(Brown Bear),N(Brush Rabbit),N(Bushy-tailed Woodrat),N(California Quail),N(Camera Trapper),N(Canada Goose),N(Canada Lynx),N(Cliff Chipmunk),N(Collared Peccary),N(Common Pheasant),N(Corvid species),N(Coyote),N(Desert Cottontail),N(Desert Woodrat),N(Domestic Cat),N(Domestic Cow),N(Domestic Dog),N(Domestic Horse),N(Domestic Sheep),N(Douglas's Squirrel),N(Dusky Grouse),N(Eastern Chipmunk),N(Eastern Cottontail),N(Eastern Fox Squirrel),N(Eastern Gray Squirrel),N(Eastern Woodrat),N(Ermine),N(Fisher),N(Gambel's Quail),N(Gemsbok),N(Golden Eagle),N(Gray Wolf),N(Great Blue Heron),N(Greater Roadrunner),N(Grey Fox),N(Harris's Antelope Squirrel),N(Human non-staff),N(Javan Mongoose),N(Kit Fox),N(Least Chipmunk),N(Long-tailed Weasel),N(Marsh Rabbit),N(Merriam's Kangaroo Rat),N(Mexican Woodrat),N(Moose),N(Mountain Beaver),N(Mountain Cottontail),N(Mountain Quail),N(Mule Deer),N(Muskrat),N(Nine-banded Armadillo),N(No Animal),N(North American Otter),N(North American Porcupine),N(Northern Flying Squirrel),N(Northern Raccoon),N(Other Bird species),N(Owl species),N(Peromyscus species),N(Pronghorn),N(Puma),N(Pygmy Rabbit),N(Raptor species),N(Rattus species),N(Red Fox),N(Red Wolf),N(Reptile species),N(Ringtail),N(Rock Squirrel),N(Ruffed Grouse),N(Sharp-tailed Grouse),N(Snowshoe Hare),N(Southern Flying Squirrel),N(Spruce Grouse),N(Striped Skunk),N(Swamp Rabbit),N(Townsend's Chipmunk),N(Turkey Vulture),N(Uinta Chipmunk),N(Unknown Animal),N(Unknown Bear),N(Unknown Bird),N(Unknown Canid),N(Unknown Cervid),N(Unknown Chipmunk),N(Unknown Cottontail),N(Unknown Flying Squirrel),N(Unknown Ground Squirrel),N(Unknown Ground-Dove),N(Unknown Large Weasel_Badger_Otter),N(Unknown Pig_Peccary),N(Unknown Rabbit_Hare),N(Unknown Raptor),N(Unknown Skunk),N(Unknown Small Mammal),N(Unknown Small Weasel),N(Unknown Squirrel),N(Unknown Woodrat),N(Vehicle),N(Virginia Opossum),N(Wapiti),N(Western Gray Squirrel),N(Western Spotted Skunk),N(White-tailed Antelope Squirrel),N(White-tailed Deer),N(White-tailed Jackrabbit),N(Wild Boar),N(Wild Turkey),N(Woodchuck)
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_17,d62348,09/14/2019,11/04/2019,09/14/2019,51,25.2746,-80.3044,EST,forest,0,0,0,0,0,low,high,high,1,0,0,0,12199.9,171.733,0.900242,-9999,-9999,-9999,0,1.01306,12199.9,171.733,0.900242,0.6996559525,5.1517470497,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_18,d62349,09/10/2019,11/04/2019,09/10/2019,55,25.2931,-80.2935,EST,forest,0,0,0,0,1,low,low,medium,1,0,0,1,12549.1,177.788,0.872458,0.198483,461,33459,0.00459137,23.6926,33459,461,0.198483,3.2065036036,6.1355648911,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,9,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_19,d62350,09/09/2019,11/04/2019,09/09/2019,56,25.2931,-80.2935,EST,forest,0,0,0,0,0,low,high,high,1,0,0,0,12549.1,177.788,0.872458,0.198483,461,33459,0.00459137,23.6926,33459,461,0.198483,3.2065036036,6.1355648911,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_20,d62351,09/12/2019,11/04/2019,09/12/2019,53,25.1933,-80.3512,EST,forest,0,0,0,0,0,low,high,high,1,0,0,1,10586.4,139.681,1.01975,-9999,-9999,-9999,0,28.3604,10586.4,139.681,1.01975,3.3796468276,4.9464949159,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_21,d62352,09/09/2019,11/04/2019,09/09/2019,56,25.2893,-80.3042,EST,forest,0,0,0,0,0,low,medium,medium,1,0,0,0,12473.4,176.226,0.860661,0.198483,461,33459,0,5.24173,33459,461,0.198483,1.8312573875,6.1355648911,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Snapshot USA - 2019,TX_Grassland_Freeman_Center,TX_Grassland_Freeman_Center_10(cam1),d60608,09/19/2019,10/24/2019,09/19/2019,35,29.89493,-97.92906,CST,grassland,0,0,0,0,0,Medium,Medium,0,1,0,1,0,11528.4,90.2126,0.483187,-9999,-9999,-9999,0.00459137,455.38,11528.4,90.2126,0.483187,6.1233257958,4.5131930454,TX_Grassland_Freeman_Center,TX_Grassland_Freeman_Center_10(cam1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,18,1,0
Snapshot USA - 2019,TX_Grassland_Freeman_Center,TX_Grassland_Freeman_Center_11,d60609,09/20/2019,10/30/2019,09/20/2019,40,29.93823,-98.0052,CST,grassland,0,0,0,0,0,High,High,0,1,0,0,0,11456.8,91.7317,0.470891,0.495634,111,12898,0,0.995802,12898,111,0.495634,0.6910459746,4.7184988713,TX_Grassland_Freeman_Center,TX_Grassland_Freeman_Center_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0
Snapshot USA - 2019,TX_Grassland_Freeman_Center,TX_Grassland_Freeman_Center_3,d60601,09/16/2019,10/03/2019,09/16/2019,17,29.93544,-98.00038,CST,grassland,0,0,0,0,0,medium,low,medium,1,0,0,1,11463.2,91.5954,0.471242,0.444471,129,15038,0,0.995802,15038,129,0.444471,0.6910459746,4.8675344505,TX_Grassland_Freeman_Center,TX_Grassland_Freeman_Center_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snapshot USA - 2019,TX_Grassland_Freeman_Center,TX_Grassland_Freeman_Center_4,d60602,09/20/2019,11/05/2019,09/20/2019,46,29.9294,-97.99498,CST,forest,0,0,0,0,0,low,low,low,1,0,0,1,11473.4,91.583,0.472257,0.453379,92,12791,0,6.66738,12791,92,0.453379,2.0369749664,4.5325994932,TX_Grassland_Freeman_Center,TX_Grassland_Freeman_Center_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,2,0
Snapshot USA - 2019,TX_Grassland_Freeman_Center,TX_Grassland_Freeman_Center_5,d60603,09/18/2019,11/06/2019,09/18/2019,49,29.92536,-97.99328,CST,grassland,0,0,0,0,0,High,0,0,1,0,0,0,11480.3,91.8079,0.472732,0.518542,84,12547,0,6.66738,12547,84,0.518542,2.0369749664,4.4426512565,TX_Grassland_Freeman_Center,TX_Grassland_Freeman_Center_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,8,0
Snapshot USA - 2019,FL_Forest_Melrose,FL_Forest_Melrose_1,d62059,09/25/2019,11/04/2019,09/25/2019,40,29.69489,-81.97547,EST,forest,0,0,0,0,0,low,medium,medium,1,0,0,0,18599.2,203.463,0.225998,0.144929,234,18604,0,4.59076,18604,234,0.144929,1.721115235,5.4595855141,FL_Forest_Melrose,FL_Forest_Melrose_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,207,0,3,25,0
Snapshot USA - 2019,FL_Forest_Melrose,FL_Forest_Melrose_10,d62068,09/25/2019,11/04/2019,09/25/2019,40,29.6947,-81.97179,EST,forest,0,0,0,0,0,low,low,medium,1,0,0,0,18599.2,203.463,0.225998,0.144929,234,18604,0,4.73834,18604,234,0.144929,1.7471699699,5.4595855141,FL_Forest_Melrose,FL_Forest_Melrose_10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,54,0,0,12,0
Snapshot USA - 2019,FL_Forest_Melrose,FL_Forest_Melrose_11,d62069,09/26/2019,11/04/2019,09/26/2019,39,29.69976,-81.99015,EST,forest,0,0,0,0,0,high,medium,medium,1,0,0,1,18550.8,202.725,0.226596,0.242714,134,13057,0.00183655,4.17533,13057,134,0.242714,1.6439031052,4.9052747784,FL_Forest_Melrose,FL_Forest_Melrose_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
